Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_4_Bootstrap_List_Box,Chrome 106.0.0.0,,,2022-10-12 09:44:08,2022-10-12 09:47:33,3m - 25.759s,PASSED
,,,,,,,
Test Cases/Intermediate/4_Bootstrap_List_Box/BLB1_Verify_some_elements_in_UI,Chrome 106.0.0.0,,,2022-10-12 09:44:08,2022-10-12 09:45:51,1m - 43.054s,PASSED
"TestID = ""TEST-00001""",Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.002s,PASSED
"FileTestData = ""TestData_Sheet5""",Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.000s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.774s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.084s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.002s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.001s,PASSED
"unselectColor = ""rgba(255, 255, 255, 1)""",Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.002s,PASSED
"selectColor = ""rgba(51, 122, 183, 1)""",Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:09,0.001s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:44:09,2022-10-12 09:44:10,0.116s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:44:10,2022-10-12 09:44:10,0.004s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:44:10,2022-10-12 09:44:11,1.041s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:44:11,2022-10-12 09:44:11,0.001s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:44:11,2022-10-12 09:44:11,0.007s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:44:11,2022-10-12 09:44:13,1.945s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:44:13,2022-10-12 09:44:13,0.000s,PASSED
