Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_5_JQuery_List_Box,Chrome 106.0.0.0,,,2022-10-12 09:36:24,2022-10-12 09:39:47,3m - 23.034s,PASSED
,,,,,,,
Test Cases/Intermediate/5_JQuery_List_Box/JQLB1_Verify_some_elements_in_UI,Chrome 106.0.0.0,,,2022-10-12 09:36:25,2022-10-12 09:37:01,36.205s,PASSED
"TestID = ""TEST-00001""",Chrome 106.0.0.0,,,2022-10-12 09:36:25,2022-10-12 09:36:25,0.004s,PASSED
"FileTestData = ""TestData_Sheet6""",Chrome 106.0.0.0,,,2022-10-12 09:36:25,2022-10-12 09:36:25,0.001s,PASSED
totalRow = findTestData(FileTestData).getRowNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:36:25,2022-10-12 09:36:26,0.840s,PASSED
totalColumn = findTestData(FileTestData).getColumnNumbers(),Chrome 106.0.0.0,,,2022-10-12 09:36:26,2022-10-12 09:36:26,0.098s,PASSED
rowNum = 1,Chrome 106.0.0.0,,,2022-10-12 09:36:26,2022-10-12 09:36:26,0.001s,PASSED
arrayLength = 0,Chrome 106.0.0.0,,,2022-10-12 09:36:26,2022-10-12 09:36:26,0.000s,PASSED
"for ([rowNum, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:36:26,2022-10-12 09:36:26,0.160s,PASSED
"println(""Row number is: "" + rowNum)",Chrome 106.0.0.0,,,2022-10-12 09:36:26,2022-10-12 09:36:26,0.006s,PASSED
"for ([i = 0, i < totalColumn - 1, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:36:26,2022-10-12 09:36:28,1.684s,PASSED
"println(""Array length is: "" + arrayLength)",Chrome 106.0.0.0,,,2022-10-12 09:36:28,2022-10-12 09:36:28,0.001s,PASSED
listData = [],Chrome 106.0.0.0,,,2022-10-12 09:36:28,2022-10-12 09:36:28,0.001s,PASSED
"for ([rowNum = 1, rowNum < totalRow, (rowNum++)])",Chrome 106.0.0.0,,,2022-10-12 09:36:28,2022-10-12 09:36:30,2.459s,PASSED
println(listData),Chrome 106.0.0.0,,,2022-10-12 09:36:30,2022-10-12 09:36:30,0.000s,PASSED
"callTestCase(findTestCase(""Intermediate/Prerequisite1_Access_Immediate""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-12 09:36:30,2022-10-12 09:36:43,12.849s,PASSED
"click(findTestObject(""Intermediate/option_JQueryListBox""))",Chrome 106.0.0.0,,,2022-10-12 09:36:43,2022-10-12 09:36:44,0.917s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:36:44,2022-10-12 09:36:50,5.715s,PASSED
"for ([i = 0, i < length, (i++)])",Chrome 106.0.0.0,,,2022-10-12 09:36:50,2022-10-12 09:36:55,5.419s,PASSED
